area,subarea,companyName,tel,postcodeDoro,addressDoro,addressJibun,filter,filternight,filter365,latitude,longitude,time
서귀포시,강정동,봄봄약국,070-7794-3945,63559,제주특별자치도 서귀포시 대청로25번길 4 (강정동),제주특별자치도 서귀포시 강정동 208번지 1호,1,,,33.25280057,126.5026563,월-금 09:00 - 20:00<br>토 09:00 - 15:00
서귀포시,강정동,금강한약국,064-738-2880,63559,"제주특별자치도 서귀포시 신서로 69 (강정동, 강정지예타운)",제주특별자치도 서귀포시 강정동 1416-3,1,,,33.25646489,126.5052924,"월, 화, 목, 금, 토 10:00 - 18:00"
서귀포시,강정동,신세계온누리약국,064-739-0813,63560,"제주특별자치도 서귀포시 월드컵로 8, 104호 (강정동, 홍은프라자)",제주특별자치도 서귀포시 강정동 231번지 2호,1,,,33.24899263,126.5073221,월-금 08:30 - 19:00<br>토 08:30 - 14:30
서귀포시,강정동,바다약국,064-738-1598,63566,"제주특별자치도 서귀포시 신서귀로97번길 51, 바다약국 101호 (강정동)",제주특별자치도 서귀포시 강정동 159-8,1,,,33.25397195,126.5070023,"월, 화, 목, 금 08:30 - 18:00<br>수, 토 08:30 - 12:30"
서귀포시,강정동,탐라약국,064-738-7583,63566,제주특별자치도 서귀포시 신서로48번길 31 (강정동),제주특별자치도 서귀포시 강정동 161번지 1호,1,,,33.25357809,126.5086356,월-금 08:00 - 21:00<br>토 08:00 - 13:00
제주시,건입동,동의당온누리약국,064-758-2685,63279,제주특별자치도 제주시 만덕로 21 (건입동),제주특별자치도 제주시 건입동 1274번지 18호,1,,,33.51472317,126.532172,월-금 09:00 - 20:00<br>토 09:00 - 13:00
제주시,건입동,이화약국,070-8860-3522,63280,"제주특별자치도 제주시 임항로 191, 1층 (건입동, 제주항국제여객터미널)",제주특별자치도 제주시 건입동 908번지 1호,1,,,33.5219764,126.5434403,
제주시,건입동,터미널약국,064-753-0560,63280,제주특별자치도 제주시 임항로 111 (건입동),제주특별자치도 제주시 건입동 918번지 30호,1,,,33.52004074,126.5342262,
제주시,구좌읍,김녕약국,064-783-8623,63357,제주특별자치도 제주시 구좌읍 김녕로 114,제주특별자치도 제주시 구좌읍 김녕리 1703-6,1,,,33.5545535,126.7502155,
제주시,구좌읍,월정온누리약국,064-782-8388,63358,"제주특별자치도 제주시 구좌읍 해맞이해안로 486, 월정애비뉴 101호",제주특별자치도 제주시 구좌읍 월정리 33번지 12호,1,,,33.55472352,126.7988709,매일 10:00 - 18:00
제주시,구좌읍,구좌약국,064-782-8875,63361,"제주특별자치도 제주시 구좌읍 구좌로 40, 1층",제주특별자치도 제주시 구좌읍 세화리 1421번지 2호,3,,오전 8:00 - 오후 8:00,33.52327903,126.8556675,매일 08:00 - 20:00
제주시,구좌읍,세화약국,064-784-8442,63361,제주특별자치도 제주시 구좌읍 세화10길 1,제주특별자치도 제주시 구좌읍 세화리 1324번지 7호,2,화/수/목,,33.52083559,126.8587827,
제주시,구좌읍,메디팜감초당약국,064-783-2360,63361,제주특별자치도 제주시 구좌읍 구좌로 42,제주특별자치도 제주시 구좌읍 세화리 1421번지 3호,3,,오전 8:30 - 오후 7:00,33.52327863,126.8558697,
제주시,구좌읍,제일약국,064-783-2010,63361,제주특별자치도 제주시 구좌읍 구좌로 47,제주특별자치도 제주시 구좌읍 세화리 1465-1,1,,,33.52330195,126.8566142,
제주시,구좌읍,건강약국,064-784-5040,63361,제주특별자치도 제주시 구좌읍 세화12길 1,제주특별자치도 제주시 구좌읍 세화리 1366번지 3호,1,,,33.52083596,126.8592728,
서귀포시,남원읍,위미약국,064-764-6603,63611,제주특별자치도 서귀포시 남원읍 태위로 127 (위미약국),제주특별자치도 서귀포시 남원읍 위미리 2850번지 1호,1,,,33.27500125,126.661078,
서귀포시,남원읍,동원약국,064-764-5784,63621,제주특별자치도 서귀포시 남원읍 태위로 634 ((남원읍)),제주특별자치도 서귀포시 남원읍 남원리 1349-4,1,,,33.27777507,126.7143606,
서귀포시,남원읍,고은약국,064-764-8878,63621,제주특별자치도 서귀포시 남원읍 태위로 691,제주특별자치도 서귀포시 남원읍 남원리 205번지 19호,1,,,33.27963509,126.7202886,
